Food_name,Energy(kcal)_per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Cholesterol per 100 mg,Sodium(mg) per 100 g,Carbohydrate(g) per 100 g,fibre(g) per 100 g,total sugar(g) per 100 g,Protein(g) per 100 g
Tropicana® Light Lemonade (20 fl oz),10,0,0,0,0,240,0,0,0,0
Tropicana® Light Lemonade (30 fl oz),15,0,0,0,0,350,1,0,0,0
Tropicana® Pink Lemonade (12 fl oz),150,0,0,0,0,160,40,0,40,0
Tropicana® Pink Lemonade (16 fl oz),210,0,0,0,0,210,53,0,53,0
Tropicana® Pink Lemonade (20 fl oz),260,0,0,0,0,260,67,0,67,0
Tropicana® Pink Lemonade (30 fl oz),390,0,0,0,0,390,100,0,100,0
Tropicana® Twister® Orange (12 fl oz),170,0,0,0,0,35,46,0,46,0
Tropicana® Twister® Orange (16 fl oz),230,0,0,0,0,50,61,0,61,0
Tropicana® Twister® Orange (20 fl oz),290,0,0,0,0,60,76,0,76,0
Tropicana® Twister® Orange (30 fl oz),430,0,0,0,0,90,115,0,114,0
Wild Cherry Pepsi® (12 fl oz),160,0,0,0,0,30,42,0,42,0
Wild Cherry Pepsi® (16 fl oz),210,0,0,0,0,40,56,0,56,0
Wild Cherry Pepsi® (20 fl oz),260,0,0,0,0,50,70,0,70,0
Wild Cherry Pepsi® (30 fl oz),390,0,0,0,0,80,105,0,105,0
Country Fried Steak without Peppered White Gravy,360,24,7,1,35,750,22,2,0,13
Country Fried Steak with Peppered White Gravy,390,26,7,1,35,910,26,2,0,13
KFC® Gizzards,300,16,2,0,210,770,18,<1,0,20
KFC® Livers,230,13,2.5,0,285,750,12,0,0,17
Bacon Club Chalupa,440,27,5,0,50,840,31,2,3,20
Blue Raspberry Freeze™ (16 oz),120,0,0,0,0,35,30,0,30,0
Blue Raspberry Freeze™ (20 oz),150,0,0,0,0,40,38,0,38,0
Loaded Nacho Taco,250,12,4.5,0,25,610,24,3,2,10
Midnight Berry Freeze™ (16 oz),140,0,0,0,0,35,35,0,34,0
Midnight Berry Freeze™ (20 oz),170,0,0,0,0,40,43,0,42,0
Nacho Fries,320,18,1.5,0,<5,630,35,4,2,4
Nacho Fries BellGrande®,710,40,6,0,30,1440,73,10,4,13
Black Bean Chalupa – Online Exclusive,330,15,3,0,10,430,39,5,3,10
Black Bean Quesarito – Online Exclusive,630,29,10,0,35,1260,73,7,5,19
Quesarito – Online Exclusive,650,33,12,0.5,55,1390,67,6,5,22
Chalupa Supreme® – Beef,350,18,5,0,25,560,33,4,3,13
Chalupa Supreme® – Chicken,330,15,3.5,0,35,560,31,2,3,16
Chalupa Supreme® – Steak,330,16,4,0,30,530,32,2,3,15
Cheesy Gordita Crunch,500,28,10,0.5,55,850,41,5,4,20
Crunchy Taco,170,9,3.5,0,25,310,13,3,<1,8
Crunchy Taco Supreme®,190,11,4.5,0,25,340,15,3,2,8
Loaded Nacho Taco (New),250,12,4.5,0,25,610,24,3,2,10
Nacho Cheese Doritos® Locos Taco,170,9,3.5,0,25,360,13,3,<1,8
Nacho Cheese Doritos® Locos Taco Supreme®,190,11,4.5,0,30,380,15,3,2,8
Soft Taco – Beef,180,9,4,0,25,500,17,3,1,9
Soft Taco – Chicken,160,5,2.5,0,30,500,16,1,1,12
Soft Taco Supreme®, , , , , , , , , , 
Soft Taco – Beef,210,10,5,0,25,520,20,3,2,10
Soft Taco – Chicken,180,7,3.5,0,35,520,18,2,2,13
Bean Burrito (V),350,9,3.5,0,5,1000,54,11,3,13
Beefy 5-Layer Burrito,490,18,7,0,30,1250,63,9,5,18
Burrito Supreme® – Beef,390,14,6,0,25,1110,51,9,4,16
Burrito Supreme® – Chicken,370,11,4.5,0,35,1110,49,8,4,19
Burrito Supreme® – Steak,370,12,5,0,30,1090,49,7,4,18
Chili Cheese Burrito (regional),370,17,8,0,35,970,40,4,2,16
Quesarito – Beef,650,33,12,0.5,55,1390,67,6,5,22
Quesarito – Chicken,620,29,11,0,65,1390,66,4,4,25
Quesarito – Steak,630,30,11,0,60,1370,66,4,4,24
Chips and Nacho Cheese Sauce (V),220,13,1.5,0,<5,250,24,2,2,2
Nacho Fries (V) (New),320,18,1.5,0,<5,630,35,4,2,4
Nacho Fries BellGrande® (New),710,40,6,0,30,1440,73,10,4,13
Nachos BellGrande® – Beef,740,38,7,0,25,1050,82,15,5,16
Nachos BellGrande® – Chicken,720,35,6,0,35,1050,81,14,5,20
Nachos BellGrande® – Steak,720,36,6,0,30,1030,81,14,5,19
Beef Quesarito,650,33,12,0.5,55,1390,67,6,5,22
Black Bean Quesarito (V),630,29,10,0,35,1260,73,7,5,19
Quesadilla – Cheese (V),470,25,12,0.5,50,990,37,4,2,19
Quesadilla – Chicken,510,26,12,0.5,75,1250,38,4,2,27
Quesadilla – Steak,520,27,12,0.5,70,1230,38,4,2,27
Bacon Club Chalupa – Specialties,440,27,5,0,50,840,31,2,3,20
Black Bean Chalupa – Specialties,330,15,3,0,10,430,39,5,3,10
Black Bean Crunchwrap Supreme – Specialties,510,17,4.5,0,5,1080,77,8,6,13
Black Bean Quesarito – Specialties,630,29,10,0,35,1260,73,7,5,19
Chalupa Supreme® – Specialties,350,18,5,0,25,560,33,4,3,13
Cheesy Gordita Crunch – Specialties,500,28,10,0.5,55,850,41,5,4,20
Cheesy Roll Up – Specialties,180,9,5,0,20,430,15,2,<1,9
Crunchwrap Supreme® – Specialties,530,21,6,0,25,1200,71,6,6,16
Crunchy Taco – Specialties,170,9,3.5,0,25,310,13,3,<1,8
Nacho Cheese Doritos® Locos Taco – Specialties,170,9,3.5,0,25,360,13,3,<1,8
Nachos BellGrande® – Specialties,740,38,7,0,25,1050,82,15,5,16
Power Menu Bowl – Specialties,470,19,6,0,70,1200,50,7,2,26
Quesadilla – Specialties,510,26,12,0.5,75,1250,38,4,2,27
Quesarito – Specialties,650,33,12,0.5,55,1390,67,6,5,22
Soft Taco – Specialties,180,9,4,0,25,500,17,3,1,9
Soft Taco Supreme – Specialties,210,10,5,0,25,520,20,3,2,10
Veggie Power Menu Bowl – Specialties,430,17,5,0,20,810,57,10,2,12
Black Beans & Rice (V),170,3.5,0,0,0,320,31,4,0,4
Black Beans (V),50,1,0,0,0,135,8,3,0,2
Cinnabon® Delights™ (2 Pk) (V),160,9,2,0,5,80,17,0,10,2
Cinnabon® Delights™ (12 Pk – Serves 4) (V),930,53,13,2,40,480,104,3,59,9
Cinnamon Twists (V),170,6,0,0,0,210,27,<1,13,1
Diablo Sauce Packet (V),0,0,0,0,0,30,0,0,0,0
Fire Sauce Packet (V),0,0,0,0,0,55,0,0,0,0
Hot Sauce Packet (V),0,0,0,0,0,45,0,0,0,0
Mild Sauce Packet (V),0,0,0,0,0,30,0,0,0,0
Blue Raspberry Freeze™ (16 oz) (New),120,0,0,0,0,35,30,0,30,0
Blue Raspberry Freeze™ (20 oz) (New),150,0,0,0,0,40,38,0,38,0
Dragon Fruit Freeze (16 oz),190,0,0,0,0,50,49,0,47,0
Dragon Fruit Freeze (20 oz),230,0,0,0,0,60,59,0,57,0
Lowfat Milk – CA (Regional),100,2,1.5,0,10,130,13,0,12,9
Lowfat Milk – Federal (Regional),80,2,1.5,0,10,100,10,0,9,7
Midnight Berry Freeze™ (16 oz) (New),140,0,0,0,0,35,35,0,34,0
Midnight Berry Freeze™ (20 oz) (New),170,0,0,0,0,40,43,0,42,0
Mtn Dew® Baja Blast Freeze™ (16 oz),150,0,0,0,0,45,41,0,41,0
Mtn Dew® Baja Blast Freeze™ (20 oz),190,0,0,0,0,55,51,0,51,0
Orange Juice,140,0,0,0,0,20,33,<1,28,2
Premium Hot Coffee,10,0,0,0,0,0,0,0,0,2
Regular Iced Coffee,10,0,0,0,0,0,0,0,0,2
Water,0,0,0,0,0,0,0,0,0,0
Wild Strawberry Freeze™ (16 oz),150,0,0,0,0,40,41,0,41,0
Wild Strawberry Freeze™ (20 oz),190,0,0,0,0,55,51,0,51,0
Beef Burrito – Value Menu,430,19,5,0,20,970,51,4,3,12
Cheesy Bean & Rice Burrito – Value Menu,420,16,4,0,<5,880,56,7,3,10
Cheesy Roll Up – Value Menu,180,9,5,0,20,430,15,2,<1,9
Chicken Chipotle Melt – Value Menu,190,9,3,0,35,530,15,1,<1,12
Chips and Nacho Cheese Sauce – Value Menu,220,13,1.5,0,<5,250,24,2,2,2
Cinnamon Twists – Value Menu,170,6,0,0,0,210,27,<1,13,1
Loaded Nacho Taco – Value Menu,250,12,4.5,0,25,610,24,3,2,10
Bean Burrito,350,9,3.5,0,5,1000,54,11,3,13
Black Bean Chalupa,330,15,3,0,10,430,39,5,3,10
Black Bean Crunchwrap Supreme,510,17,4.5,0,5,1080,77,8,6,13
Black Bean Quesarito,630,29,10,0,35,1260,73,7,5,19
Black Beans & Rice,170,3.5,0,0,0,320,31,4,0,4
Cheese Quesadilla,470,25,12,0.5,50,990,37,4,2,19
Cheesy Bean & Rice Burrito,420,16,4,0,<5,880,56,7,3,10
Cheesy Roll Up,180,9,5,0,20,430,15,2,<1,9
Chips and Nacho Cheese Sauce,220,13,1.5,0,<5,250,24,2,2,2
Cinnabon® Delights™ (2 Pack),160,9,2,0,5,80,17,0,10,2
Cinnabon® Delights™ (12 Pack – Serves 4),930,53,13,2,40,480,104,3,59,9
Cinnamon Twists,170,6,0,0,0,210,27,<1,13,1
Hash Brown,160,12,1,0,0,270,13,2,0,1
Power Menu Bowl – Veggie,430,17,5,0,20,810,57,10,2,12
Power Menu Bowl – Chicken,470,19,6,0,70,1200,50,7,2,26
Power Menu Bowl – Steak,480,20,7,0,60,1150,51,7,2,25
Power Menu Bowl – Veggie (V),430,17,5,0,20,810,57,10,2,12
Breakfast Crunchwrap – Bacon,670,41,12,0,140,1270,50,4,3,21
Breakfast Crunchwrap – Sausage,720,47,15,0,145,1210,51,4,3,21
Breakfast Crunchwrap – Steak,660,38,12,0,145,1300,51,4,3,24
Breakfast Salsa Packet (V),0,0,0,0,0,50,<1,0,0,0
Cheesy Toasted Breakfast Burrito – Bacon,350,16,4.5,0,115,870,36,2,3,13
Cheesy Toasted Breakfast Burrito – Fiesta Potato (V),340,14,3.5,0,100,750,43,3,3,10
Cheesy Toasted Breakfast Burrito – Sausage,340,17,5,0,110,730,36,2,3,11
Cinnabon® Delights™ (2 Pack) (V),160,9,2,0,5,80,17,0,10,2
Cinnabon® Delights™ (12 Pack – Serves 4) (V),930,53,13,2,40,480,104,3,59,9
Grande Toasted Breakfast Burrito – Bacon,560,30,10,0,230,1290,49,4,3,24
Grande Toasted Breakfast Burrito – Sausage,560,31,10,0,230,1150,49,4,3,22
Grande Toasted Breakfast Burrito – Steak,560,28,9,0,240,1310,50,4,3,27
Hash Brown (V),160,12,1,0,0,270,13,2,0,1
Hash Brown Toasted Breakfast Burrito – Bacon,570,33,10,0,135,1270,49,4,2,21
Hash Brown Toasted Breakfast Burrito – Sausage,570,34,10,0,130,1130,49,4,2,18
Hash Brown Toasted Breakfast Burrito – Steak,570,30,9,0,140,1290,50,4,2,24
7-Up (16 fl oz),190,,,,70,46,,,46,
Brisk® Mango Iced Tea (16 fl oz),100,,,,50,26,,,26,
Brisk® Unsweetened No Lemon Iced Tea (16 fl oz),0,,,,60,0,,,0,
Diet Dr Pepper® (16 fl oz),0,,,,95,0,,,0,
Diet Mtn Dew® (16 fl oz),5,,,,75,1,,,1,
Diet Pepsi® (16 fl oz),0,,,,75,0,,,0,
Dr Pepper® (16 fl oz),190,,,,60,52,,,51,
G2 – Fruit Punch (16 fl oz),30,,,,140,7,,,6,
Mtn Dew® (16 fl oz),220,,,,70,59,,,58,
Mtn Dew® Baja Blast™ (16 fl oz),220,,,,65,59,,,59,
Mtn Dew® Baja Blast Zero Sugar (16 fl oz),5,,,,70,0,,,0,
Mtn Dew® Kickstart™ Orange Citrus (16 fl oz),70,,,,75,18,,,18,
Mug® Root Beer (16 fl oz),190,,,,60,52,,,52,
Pepsi® (16 fl oz),200,,,,45,55,,,55,
Pepsi® Wild Cherry (16 fl oz),210,,,,40,56,,,56,
Pepsi® Zero Sugar (16 fl oz),0,,,,85,0,,,0,
Sierra Mist® (16 fl oz),200,,,,45,54,,,54,
Tropicana® Pink Lemonade (16 fl oz),210,,,,210,53,,,53,
7-Up (20 fl oz),240,,,,85,58,,,58,
Brisk® Mango Iced Tea (20 fl oz),120,,,,60,32,,,32,
Brisk® Unsweetened No Lemon Iced Tea (20 fl oz),0,,,,75,0,,,0,
Diet Dr Pepper® (20 fl oz),0,,,,120,0,,,0,
Diet Mtn Dew® (20 fl oz),10,,,,90,1,,,1,
Diet Pepsi® (20 fl oz),0,,,,95,0,,,0,
Dr Pepper® (20 fl oz),240,,,,75,65,,,64,
G2 – Fruit Punch (20 fl oz),35,,,,180,9,,,8,
Mtn Dew® (20 fl oz),270,,,,85,73,,,73,
Mtn Dew® Baja Blast™ (20 fl oz),280,,,,80,74,,,73,
Mtn Dew® Baja Blast Zero Sugar (20 fl oz),10,,,,85,0,,,0,
Mtn Dew® Kickstart™ Orange Citrus (20 fl oz),90,,,,90,23,,,22,
Mug® Root Beer (20 fl oz),240,,,,75,65,,,65,
Pepsi® (20 fl oz),250,,,,55,69,,,69,
Pepsi® Wild Cherry (20 fl oz),260,,,,50,70,,,70,
Pepsi® Zero Sugar (20 fl oz),0,,,,105,0,,,0,
Sierra Mist® (20 fl oz),260,,,,55,68,,,68,
Tropicana® Pink Lemonade (20 fl oz),260,,,,260,67,,,67,
 , ,,,, , ,,, ,
FOUNTAIN BEVERAGES (30 OZ), ,,,, , ,,, ,
7-Up (30 fl oz),350,,,,125,87,,,87,
Brisk® Mango Iced Tea (30 fl oz),180,,,,90,48,,,48,
Brisk® Unsweetened No Lemon Iced Tea (30 fl oz),0,,,,115,0,,,0,
Diet Dr Pepper® (30 fl oz),0,,,,180,1,,,0,
Diet Mtn Dew® (30 fl oz),10,,,,140,1,,,1,
Diet Pepsi® (30 fl oz),0,,,,140,0,,,0,
Dr Pepper® (30 fl oz),360,,,,110,98,,,96,
G2 – Fruit Punch (30 fl oz),50,,,,270,13,,,12,
Mtn Dew® (30 fl oz),410,,,,125,110,,,109,
Mtn Dew® Baja Blast™ (30 fl oz),420,,,,120,110,,,110,
Mtn Dew® Baja Blast Zero Sugar (30 fl oz),15,,,,125,0,,,0,
Mtn Dew® Kickstart™ Orange Citrus (30 fl oz),130,,,,140,34,,,33,
Mug® Root Beer (30 fl oz),360,,,,110,98,,,98,
Pepsi® (30 fl oz),380,,,,80,104,,,103,
Pepsi® Wild Cherry (30 fl oz),390,,,,80,105,,,105,
Pepsi® Zero Sugar (30 fl oz),0,,,,160,<1,,,0,
Sierra Mist® (30 fl oz),380,,,,80,101,,,101,
Tropicana® Pink Lemonade (30 fl oz),390,,,,390,100,,,100,
Detroit Double Cheesy Pizza Slice,280,12,6,0,30,560,31,2,2,13
Detroit Double Pepperoni Pizza Slice,330,17,7,0,40,720,30,2,2,14
Detroit Meaty Pizza Slice,320,16,6,0,35,640,31,2,2,14
Detroit Supremo Pizza Slice,290,13,6,0,30,570,31,2,2,13
Pan Pizza Slices Backyard BBQ Chicken Personal Pan,180,6,2,0,15,370,25,1,8,8
Pan Pizza Slices Backyard BBQ Chicken Medium,270,10,4,0,25,450,33,2,6,11
Pan Pizza Slices Backyard BBQ Chicken Large,380,16,6,0,35,650,43,2,7,16
Pan Pizza Slices Beyond Meat® Pepperoni Medium,240,10,4.5,0,15,470,29,2,1,10
Pan Pizza Slices Beyond Meat® Pepperoni Large,350,16,6,0,25,680,38,3,2,14
Pan Pizza Slices Buffalo Chicken Personal Pan,160,5,2,0,15,570,22,1,2,7
Pan Pizza Slices Buffalo Chicken Medium,240,9,3.5,0,20,680,31,2,2,11
Pan Pizza Slices Buffalo Chicken Large,350,14,5,0,30,850,40,2,2,15
Pan Pizza Slices Cheese Personal Pan,150,6,2.5,0,15,310,17,1,2,7
Pan Pizza Slices Cheese Medium,250,10,4.5,0,25,450,28,2,1,11
Pan Pizza Slices Cheese Large,360,17,7,0,35,660,37,2,2,16
Pan Pizza Slices Chicken Bacon Parmesan Personal Pan,180,8,3,0,20,350,17,1,2,9
Pan Pizza Slices Chicken Bacon Parmesan Medium,270,13,4.5,0,30,470,27,2,1,12
Pan Pizza Slices Chicken Bacon Parmesan Large,390,20,7,0,40,680,35,2,2,18
Pan Pizza Slices Hawaiian Chicken Personal Pan,150,5,2,0,15,330,18,1,3,8
Pan Pizza Slices Hawaiian Chicken Medium,240,9,3.5,0,20,480,29,2,2,12
Pan Pizza Slices Hawaiian Chicken Large,350,15,5,0,30,690,38,2,3,17
Pan Pizza Slices Meat Lover’s® Personal Pan,210,12,4.5,0,25,460,18,1,2,9
Pan Pizza Slices Meat Lover’s® Medium,320,17,6,0,35,640,28,2,1,13
Pan Pizza Slices Meat Lover’s® Large,470,27,10,0,50,940,37,2,2,19
Pan Pizza Slices Pepperoni Personal Pan,150,7,2.5,0,15,310,17,1,2,6
Pan Pizza Slices Pepperoni Medium,250,11,4.5,0,25,470,28,2,1,10
Pan Pizza Slices Pepperoni Large,370,18,6,0,35,680,36,2,2,15
Pan Pizza Slices Pepperoni Lover’s® Personal Pan,180,9,3.5,0,20,370,17,1,2,8
Pan Pizza Slices Pepperoni Lover’s® Medium,300,15,6,0,35,580,28,2,1,13
Pan Pizza Slices Pepperoni Lover’s® Large,440,24,9,0.5,50,850,37,3,2,19
Pan Pizza Slices Supreme Personal Pan,170,8,3,0,15,360,18,1,2,7
Pan Pizza Slices Supreme Medium,270,13,5,0,25,500,29,2,2,11
Pan Pizza Slices Supreme Large,390,20,7,0,40,740,37,2,2,16
Pan Pizza Slices Ultimate Cheese Lover’s® Personal Pan,170,8,3.5,0,15,330,17,1,2,8
Pan Pizza Slices Ultimate Cheese Lover’s® Medium,270,13,5,0,25,470,27,2,1,12
Pan Pizza Slices Ultimate Cheese Lover’s® Large,390,20,8,0,40,670,36,2,2,17
Pan Pizza Slices Veggie Lover’s® Personal Pan,140,5,2,0,10,290,18,1,2,6
Pan Pizza Slices Veggie Lover’s® Medium,230,9,3.5,0,15,420,29,2,2,9
Pan Pizza Slices Veggie Lover’s® Large,330,15,5,0,25,620,38,3,3,14
Hand Tossed Slices Backyard BBQ Chicken Small,140,4,2,0,15,250,20,1,4,6
Hand Tossed Slices Backyard BBQ Chicken Medium,220,7,3,0,20,390,31,2,6,10
Hand Tossed Slices Backyard BBQ Chicken Large,300,10,4.5,0,30,530,40,2,7,14
Hand Tossed Slices Beyond Meat® Pepperoni Medium,200,7,3.5,0,15,410,26,2,1,9
Hand Tossed Slices Beyond Meat® Pepperoni Large,280,10,5,0,20,560,35,3,2,12
Hand Tossed Slices  Buffalo Chicken Small,130,3.5,1.5,0,10,380,19,<1,<1,6
Hand Tossed Slices  Buffalo Chicken Medium,200,5,2.5,0,20,560,28,2,1,9
Hand Tossed Slices  Buffalo Chicken Large,270,8,4,0,30,740,37,2,2,13
Hand Tossed Slices Cheese Small,130,4.5,2,0,10,250,17,1,<1,6
Hand Tossed Slices Cheese Medium,210,8,3.5,0,20,390,26,2,1,10
Hand Tossed Slices Cheese Large,290,10,5,0,30,540,34,3,2,13
Hand Tossed Slices Chicken Bacon Parmesan Small,150,6,2.5,0,15,270,16,1,<1,7
Hand Tossed Slices Chicken Bacon Parmesan Medium,230,9,4,0,25,410,25,2,1,11
Hand Tossed Slices Chicken Bacon Parmesan Large,310,13,5,0,35,560,33,2,1,16
Hand Tossed Slices Hawaiian Chicken Small,130,4,1.5,0,10,270,17,1,1,7
Hand Tossed Slices Hawaiian Chicken Medium,210,6,3,0,20,420,27,2,2,10
Hand Tossed Slices Hawaiian Chicken Large,280,9,4,0,30,580,36,3,3,15
Hand Tossed Slices Meat Lover’s® Small,180,9,3.5,0,20,370,17,1,<1,7
Hand Tossed Slices Meat Lover’s® Medium,290,15,6,0,30,590,26,2,1,12
Hand Tossed Slices Meat Lover’s® Large,390,21,8,0,45,830,34,3,2,17
Hand Tossed Slices Pepperoni Small,130,5,2,0,10,260,16,1,<1,6
Hand Tossed Slices Pepperoni Medium,220,9,4,0,20,420,25,2,1,9
Hand Tossed Slices Pepperoni Large,300,13,6,0,30,590,34,3,2,13
Hand Tossed Slices Pepperoni Lover’s® Small,160,7,3,0,20,310,17,1,<1,7
Hand Tossed Slices Pepperoni Lover’s® Medium,270,13,6,0,35,530,26,2,1,12
Hand Tossed Slices Pepperoni Lover’s® Large,370,18,8,0,50,740,35,3,2,17
Hand Tossed Slices Supreme Small,150,6,2.5,0,15,280,17,1,1,6
Hand Tossed Slices Supreme Medium,240,10,4,0,25,450,26,2,2,10
Hand Tossed Slices Supreme Large,320,14,6,0,35,630,35,3,2,14
Hand Tossed Slices Ultimate Cheese Lover’s® Small,150,6,2.5,0,15,250,16,1,<1,6
Hand Tossed Slices Ultimate Cheese Lover’s® Medium,230,10,4.5,0,25,390,25,2,1,11
Hand Tossed Slices Ultimate Cheese Lover’s® Large,310,13,6,0,35,540,33,2,1,15
Hand Tossed Slices Veggie Lover’s® Small,120,4,1.5,0,10,230,17,1,1,5
Hand Tossed Slices Veggie Lover’s® Medium,200,6,2.5,0,15,370,27,2,2,8
Hand Tossed Slices Veggie Lover’s® Large,260,9,4,0,20,510,36,3,3,11
