Food_name,Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg,,,source
MAGGI,379,8,57.7,2.1,1.1,2.8,13.5,7.9,0.12,1137.1,7.7,0,,,https://www.maggi.in/en/product/maggi-veggie-masala-noodles/
Lays_American Style Cream & Onion Flavour,537,6.7,53,3.4,2,0,33.1,12.5,0.1,643,0,0,,,https://www.lays.com/products/lays-sour-cream-onion-flavored-potato-chips
Lay's Chile Limon Potato Chips,556,7.3,49.4,3.4,0,0,36.6,14.5,0.1,999,0,0,,,https://www.lays.com/products/lays-chile-lim-n-flavored-potato-chips
Lay's Potato Chips - India's Magic Masala Pouch,547,8.9,47.6,4.1,0,0,35.7,14.1,0.1,942,0,0,,,https://www.lays.com/?sf252742898=1
Pringles Sour Cream & Onion Flavour,541,5,57.6,3.2,0,0,30.9,15,0.3,642,0,0,,,https://www.pringles.com/en-us/products/pringles-sour-cream-onion-product.html
Cadbury Oreo Vanilla Flavour Crème Sandwich Biscuit,483,5.2,71.9,38.8,38.7,0,19.6,9.7,0.1,420,0,0,,,https://www.cadbury.co.uk/
Kellogg's Chocos,386,9,83.66,30,0,5,3,1.33,0,0.333,5,0,,,https://www.kelloggs.com/en-in/products/chocos/chocos-whole-grain-cereal.html
Doritos Nacho Cheese Tortilla Chips,499,7.1,65.1,4.5,0,0,23.4,9,0.1,605,0,0,,,https://www.doritos.com/products/doritos-nacho-cheese-flavored-tortilla-chips
Parle Marie Biscuit UNIQUE,451,7.4,77.4,22,0,0,12.4,5.8,0,0,0,0,,,https://www.parleproducts.com/
Cadbury Chocobakes ChocFilled Cookies,501,5.1,66.2,39.7,37.8,0,24.5,11.6,0.1,195,0,1,,,https://www.cadbury.co.uk/
Sunfeast Dark Fantasy Choco Fills,513,5.3,64.2,34.4,31.7,0,26.5,12.9,0.1,166.5,0,0.3,,,https://www.itcstore.in/sunfeast-dark-fantasy-choco-fills-300g
Britannia The Original Bourbon ,493.7,5,72.7,38.3,35.1,0,20.3,10.1,0,119,0,0,,,https://www.britannia.co.in/
Kellogg's Corn Flakes Real Almond Honey,410,6.4,82,25,0,1.66,6.6,4,0,0.44,7,0,,,https://www.kelloggs.com/en-in/products/corn-flakes/corn-flakes-real-almond-and-honey.html
Cadbury Dairy Milk Chocolate,532,7.8,60.4,57,47.4,0,29.2,19.6,0.1,129,0,20.7,,,https://www.cadbury.co.uk/
 Kurkure Namkeen - Masala Munch,558,6.4,55.2,1,0,0,34.6,16,0.1,892,0,0,,,https://www.pepsnacks.com/kurkure
Parle Happy Choco Chip Happy Cookies,489,5.8,71.3,30.4,0,0,20.1,10.6,0,0,0,0,,,https://www.parleproducts.com/brands/happy-happy
PAZZTA Maggi Pazzta Masala Penne Pasta,279,8.9,58,6.9,3.1,3.5,2,1.5,0.01,803,0,2,,,https://www.maggi.in/en/product/maggi-pazzta-masala-penne/
Bingo! Tedhe Medhe Masala Tadka,546,5.5,51.3,1.1,1.2,0,32.8,15.5,0.1,738.4,0,0,,,https://bingosnacks.com
Bingo! Mad Angles Achaari Masti ,526,5.6,61.2,6,5.2,0,29.5,13.8,0.1,758.8,0,0,,,https://bingosnacks.com
Bingo! Original Style Cream & Onion,532,7.3,55.1,2.3,1.1,0,32.4,15,0.1,820,0,1,,,https://bingosnacks.com
Britannia Gobbles Bar Cake Fruity Fun,405,5,58,26.5,0,0,17,8,0,0,0,65,,,https://www.britannia.co.in
Britannia Little Hearts,486,7.4,70,24.4,23,0,19.5,9.4,0,311,0,0,,,https://www.britannia.co.in
Britannia Gobbles Cake Marble Cake Choco Vanilla,414,6.3,58.5,28.6,28.5,0,17.2,8.9,0,184,0,82,,,https://www.britannia.co.in
Too Yumm! - Karare - Noodle Masala,487,6.2,69,3.7,2.5,3.7,20.6,9.4,0.04,720,0,0,,,https://www.rpsg.in/business/tooyummttps://www.rpsg.in/business/tooyumm
Too Yumm! Veggie Stix,476,6.3,71,7.1,2.1,2.9,18.5,9.2,0.19,770,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm! Multigrain Chips ,483,8.1,67,9.2,8.7,4.9,19.8,9.1,0.1,970,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm! Potato Chips ,554,6.1,55,0.9,0,3.5,34,7.7,0.2,670,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm! Veggie Stix,471,6.1,73,5.2,4.2,1.9,17.3,7.4,0.05,970,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm! Bhoot Chips ,523,7.6,56,3.2,3.2,6.1,30,8.5,0,425,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm - Wafers Spicy Chilli,559,6.4,55,4.8,3.6,2.3,35,8,0.2,610,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm! Namkeen - Bikaneri Bhujia,600,12.4,40,0,0,1.6,43.2,11.3,0.2,750,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm! Namkeen - Salted Peanuts,637,27.1,18,2.3,0,7.2,50.5,7.6,0.2,360,0,0,,,https://www.rpsg.in/business/tooyumm
Too Yumm! Namkeen - Moong Dal,469,21.7,56,2,0,12,17.8,4.5,0.1,400,0,0,,,https://www.rpsg.in/business/tooyumm
"Too Yumm! Namkeen - All In One,",558,13.7,47,10.2,6.8,7.5,35,8.3,0.1,830,0,0,,,https://www.rpsg.in/business/tooyumm
Nutraj Premium Raw California Almonds,597.19,19.33,21.72,5.41,0,0,48.11,9.62,0,2.5,0,0,,,https://www.nutraj.com/collections/almonds?gad_source=1&gclid=EAIaIQobChMIksjRwcmShQMVaeMWBR0jmQJTEAAYASAAEgIAlvD_BwE
Britannia Treat Jim Jam Biscuits,483,5,73,33.5,31.8,0,19,9.5,0,214,0,0,,,https://www.britannia.co.in/
UNIBIC Fruit & Nut Cookies,458,6.4,63,25,21.5,0,20,9,0,209,0,0,,,https://www.unibicfoods.com
UNIBIC FOODS Cashew Badam Cookies,487,5.5,66,26,24.3,0,22.3,10,0,195,0,0,,,https://www.unibicfoods.com
Unibic Foods Choco Chip Cookies,480,5.8,68,29,0,0,20.5,12.8,0,0,0,0,,,https://www.unibicfoods.com
UNIBIC Foods Cookies-Choco Nut Cookies,497,6.8,64,28,0,0,22,13.5,0,0,0,0,,,https://www.unibicfoods.com
"Unibic Cookies, Pista Badam",523,7.8,60,24.8,0,0,28,14,0,0,0,3,,,https://www.unibicfoods.com
Unibic Sugar Free Cookies – Butter,509,7.4,65.4,25.2,0,0,24.2,15.4,0,0,0,15,,,https://www.unibicfoods.com
Unibic Sugar Free Cookies – Butter,485,6.2,70,35,0,0,20,11.2,0,0,0,0,,,https://www.unibicfoods.com
Britannia Nutri Choice Digestive,481,9.1,68,13.1,11.9,7.3,20.9,10.4,0,368,0,0,,,https://www.britannia.co.in/
Cadbury Nutties Chocolate Pack,511,5,67.2,61.5,57.4,0,24.8,13.9,0.1,117,0,18,,,https://www.cadbury.co.uk/
Kwality Wall's Magnum Almond Ice Cream,249.4,3.9,21.1,19.9,0,0.7,16.6,9.3,0.3,50.4,0,0,,,https://www.kwalitywalls.in/home.html
"Cadbury 5 Star Chocolate Home Treats Chocolates Bars
",444,3.1,72.9,60.5,57.1,0,15.9,10.1,0.1,170,0,4,,,https://www.cadbury.co.za/product/cadbury-5star
Cadbury Bournville Rum & Raisin Dark Chocolate Bar,523,5.4,57.4,45.6,37.4,0,31.3,18.7,0.1,11,0,4.3,,,https://www.cadbury.co.uk/
"Cadbury Fuse Peanut & Caramel Filled Chocolate Bar,",540,7.9,54.3,44.2,37.4,0,33.1,17.6,0.1,236,0,3.8,,,https://www.cadbury.co.uk/
Cadbury Gems Surprise Chocolate,468,3.6,75.1,70,61.6,0,17.5,17.3,0.2,74,0,3,,,https://www.cadbury.co.uk/
Cadbury Perk Chocolate,517,3.6,67.6,45.9,0,1.8,25.8,23.4,0.2,92,0,0,,,https://www.cadbury.co.uk/
Cadbury Chocobakes Choc Layered Cakes,497,5.1,66.4,39.8,0,1.9,24.5,11.6,0.2,195,0,0,,,https://www.cadbury.co.uk/
Britannia Nutri Choice Seeds Biscuits ,493,11,63,13.6,11.6,6.8,23.4,9.6,0,314,0,2.8,,,https://www.britannia.co.in
Mom's Magic Rich Cashew Almond Cookies,503,7.8,66.4,22.8,0,0,22.9,10.3,0,0,0,0,,,https://www.sunfeastworld.com/
Sunfeast Dark Fantasy Yumfills,425,5.4,63.9,33.1,26.3,0,16.4,10.7,0.05,146.8,0,2.4,,,https://www.sunfeastworld.com/
Sunfeast YiPPee! Tricolor Pasta,358,10.9,73.9,10.9,1.8,0,2.8,1.2,0.01,1430.5,0,0.1,,,https://www.sunfeastworld.com/
Sunfeast Nice Biscuit,473,7.5,72.8,31.7,0,0,16.9,9.9,0.1,0,0,0,,,https://www.sunfeastworld.com/
Sunfeast Bounce Cream Tangy Orange,465,6.1,76,36.2,34.9,0,15.1,7.4,0.02,166.7,0,0,,,https://www.sunfeastworld.com/
Sunfeast Farmlite Super Millets Ragi & Jowar Cookies,496,6.2,56.7,21,17.7,3.2,27.9,15.1,0.16,470.1,4.73,1,,,https://www.sunfeastworld.com/
"Sunfeast Farmlite 5 Grain Digestive Biscuit, High Fibre Biscuit",467,8.3,67.4,21,19.2,8,20,8.3,0.03,674.5,0,0.1,,,https://www.sunfeastworld.com/
Parle G Original Gluco Biscuits,451,6.5,78.2,25.5,0,1.8,12.5,6.5,0,0,0,0,,,https://www.parleproducts.com/
Parle G Gold,462,6.6,76,26.9,0,1.7,14.6,0,0,0,0,0,,,https://www.parleproducts.com/
Parle Monaco Cheeselings,489,8.2,69,3.3,0,0,20,9.5,0,0,0,0,,,https://www.parleproducts.com/
Parle Hide and Seek Chocolate Chip Cookies,479,5.9,73.4,32.2,0,0,18,9.4,0,0,0,0,,,https://www.parleproducts.com/
Parle-G Oats & Berries Biscuits,445,7.2,78.8,25.6,24.6,0,11.2,5,0,303,0,0,,,https://www.parleproducts.com/
Parle Nutricrunch Classic Digestive Cookies,489,6.7,70.5,15.6,14.4,6,20,9.2,0,251,0,0,,,https://www.parleproducts.com/
"Parle Rusk, Elachi",433,7.6,80.7,24.4,0,0,8.9,4.6,0,0,0,0,,,https://www.parleproducts.com/
"Parle Marie
",451,7.7,77.2,20,0,0,12.4,5.7,0,0,0,0,,,https://www.parleproducts.com/
Parle Wafers Piri Piri,562,7.3,56.7,2,0,0,34,16.2,0.1,0,0,0,,,https://www.parleproducts.com/
Parle Bigger Kaccha Mango Bite,386,0,96.5,79,0,0,0,0,0,0,0,0,,,https://www.parleproducts.com/
Parle Bigger Mango Bite,391,0,97.8,80.6,0,0,0,0,0,0,0,0,,,https://www.parleproducts.com/
"Parle Fab! Jam-in Mixed Fruit Flavoured Jam Biscuits
",462,4.8,78,37,0,0,14.6,6.7,0,0,0,0,,,https://www.parleproducts.com/
Parle Bigger Orange Bite,385,0,96.3,79,71.3,0,0,0,0,5,0,0,,,https://www.parleproducts.com/
Parle Top Delicious & Crispy,505,7.4,66.7,9.7,0,0,23.1,11,0,0,0,1.5,,,https://www.parleproducts.com/
Parle Krackjack The Original Sweet & Salty Crackers,489,6.8,70.5,19.6,19.1,0,19.9,9.4,0,371,0,0,,,https://www.parleproducts.com/
Parle Happy Choco Chip Happy Cookies,489,5.8,71.3,30.4,0,0,20.1,10.6,0,0,0,0,,,https://www.parleproducts.com/
Parle Grand Londonderry Pouch,401,1.2,91.7,72.8,0,0,3.3,1.2,0,0,0,0,,,https://www.parleproducts.com/
Parle Kismi Assorted with Four Delecious Flavoured Elaichi,418,2.5,80.5,52,0,0,9.5,5.15,0,0,0,0,,,https://www.parleproducts.com/
Parle Magix Orange Cream Biscuit,462,5.6,77.3,35.1,34.8,0,14.5,6.7,0,228,0,0,,,https://www.parleproducts.com/
Parle Fab Bourbon,467,5.1,76.4,41.5,41.3,0,15.7,7.7,0,102,0,0,,,https://www.parleproducts.com/
Parle 2 In 1 Eclairs Toffee,412,2.5,79.1,54.4,38.7,0,9.5,4.4,0,129,0,0,,,https://www.parleproducts.com/
Parle Milano Center Filled Choco,528,3.2,64.9,38,0,0,28.4,14.7,0,0,0,0,,,https://www.parleproducts.com/
Nestle Milkybar Chocolate,488,9,43.3,41.3,29.1,1.4,30.9,28.4,0.07,213.3,0,0,,,https://www.nestle.in/
Nestle Munch Maha Choco Taste,435,5.6,49.8,33.6,30,0,23.8,23.5,0.06,82.2,0,0,,,https://www.nestle.in/
Nestlé Classic Chocolate,533,8.7,59.6,57.7,43.7,1.7,28.9,24.9,0,122,0,0,,,https://www.nestle.in/
Nestlé Kitkat Bars,438,6.4,47.4,35.1,28.9,0,24.8,24.5,0.04,97.4,0,0,,,https://www.nestle.in/
Britannia Treat Croissant ,404,5.5,59,28.2,26.2,0,16.2,8.5,0,138,0,1,,,https://www.britannia.co.in
Britannia Pure Magic Chocolush ,528,5,64,34,0,0,28,12,0,0,0,0,,,https://www.britannia.co.in
Britannia 50-50 Sweet & Salty Biscuits,487,7,72,19.5,0,0,19,9,0,0,0,0,,,https://www.britannia.co.in
Britannia Nice Time,463,6,76,30.5,27.6,0,15,8,0,274,0,0,,,https://www.britannia.co.in
Britannia Treat Crème Wafers - Vanilla Flavoured Wafer Biscuit,550,4.4,60,36.2,30,0,33.6,25.4,0,106,0,0,,,https://www.britannia.co.in
Britannia Biscafe - Super Thin Coffee Cracker,485,6.8,71.8,22.6,21.5,0,19,9.3,0,462,0,3.5,,,https://www.britannia.co.in
Britannia Good Day – Chunkies,512,5,62,32.5,0,0,27,8.5,2,0,0,4,,,https://www.britannia.co.in
Britannia 50-50 Golmaal Light Crackers with Kaala Jeera Biscuits,508,6.4,68.4,21.8,20.8,0,23.2,11.2,0,458,0,0,,,https://www.britannia.co.in
Britannia Tiger Krunch Chocochip Biscuits,483,6,72,30,0,0,19,8,0,0,7,0,,,https://www.britannia.co.in
PAZZTA Maggi Masala Penne Pasta,279,8.9,58,6.9,3.1,3.5,2,1.5,0.01,803,0,2,,,https://www.maggi.in
MAGGI Nutri-licious Veg Atta Masala Noodles,321,8.1,50.1,2,1.1,4.1,11.1,8.5,0.16,805.8,6.62,0,,,https://www.maggi.in/en/product/maggi-
"MAGGI 2-Minute Spicy Manchurian Noodles,",332,8.1,48,0.9,0.7,0,12,8.1,0.15,1040,0,0,,,https://www.maggi.in/en/product/maggi
MAGGI Korean BBQ Chicken Noodles,336,9,44.8,2.4,2,0,13.4,7.4,0.14,858.7,0,3,,,https://www.maggi.in/en/product/maggi
MAGGI Korean BBQ Veg Noodles,321,8.2,41.6,3.2,2.7,0,13.5,7.6,0.14,915.7,0,0,,,https://www.maggi.in/en/product/maggi
Maggi 2-Minute Spicy Garlic Noodles,331,7.7,48.8,1.9,1.8,0,12.1,8.2,0.15,1023.6,0,0,,,https://www.maggi.in/en/product/maggi
Tata Sampann Yumside Instant Schezwan Veg Noodles,124,3.9,7.3,5,0.2,2,8.8,1.6,0.03,547.2,0,0,,,https://www.tatanutrikorner.com/products/tata-sampann-yumside-hot-spicy-schezwan-noodles-with-veggies-285g
Tata Sampann Yumside Cheesy Instant Pasta,84.1,5.4,8.7,3.3,0,2.4,3.1,2.2,0.1,455.4,0,3.3,,,https://www.tatanutrikorner.com/products
Tata Sampann Yumside Ready to Eat Chicken Tikka Sausage,208,11.1,11.6,0.8,0.8,3.2,13,4.4,0,1369,0,74.5,,,https://www.tatanutrikorner.com/products
Tata Sampann Yumside Tomato Fusilli Instant Pasta,104,3.6,15.1,7.5,4.7,1.9,3.3,1.3,0.08,479.9,0,1,,,https://www.tatanutrikorner.com/products
Tata Sampann Yumside Ready to Eat Chana Masala,105,4.9,15.8,2.3,0,13.4,2.5,0.6,0.03,504.4,0,0,,,https://www.tatanutrikorner.com/products
"Tata Sampann Yumside Ready to Eat Butter Chicken,",152,4.4,0.6,1.9,0.4,0.2,11.1,3.1,0.14,394.3,0,30.4,,,https://www.tatanutrikorner.com/products
"Tata Sampann Yumside Ready to Eat Chicken Biryani,",181,8.4,28,0,0,3,3.9,1.9,0.2,550,0,5.46,,,https://www.tatanutrikorner.com/products
"Tata Sampann Yumside Ready to Eat Schezwan Fried Rice,",171,3.1,30.3,1.7,0,1,5,0.7,0,851,0,0,,,https://www.tatanutrikorner.com/products
"Tata Sampann Yumside Ready to Eat Paneer Makhani,",176,8.7,8.4,2.3,0.5,0.4,11.9,3.9,0.11,335.6,0,3.9,,,https://www.tatanutrikorner.com/products
Tata Sampann Yumside Ready to Eat Dal Makhani,147,5.1,13,1.5,0,1.9,8.3,4.5,0.17,438.8,0,22,,,https://www.tatanutrikorner.com/products
Haldiram's Nagpur Moong Dal,468,19.51,50.35,0,0,1.46,20.94,7.73,0,0,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldiram's Nagpur Khatta Meetha,530,9.26,57.3,4.26,0,4.01,29.25,12.48,0,368,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldiram's Boondi Plain,578.9,10.8,46.4,2.3,0,6.2,38.9,13.6,0.1,0,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldirams Fatafat Bhel,526,11,53,15,12,0,30,12,0.1,550,0,2.64,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldiram's Nagpur Orange Burfee,296,3.38,66.91,57.74,54.05,1.81,1.3,0.52,0,26.08,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldiram's Nagpur Mixture,524.28,16.78,46.37,0,0,0,30.15,10.1,0,107,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
 Haldirams Peanut ,610,26,18.5,0.5,0,0,48,24,0.1,0,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
"
Haldiram's Namkeen",549.7,19.2,40.6,2.9,0,0,34.5,6.8,0.1,658.2,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldirams Namkeen – Murruku,555,10,50,0.1,0,0,35,16,0.1,720,0,1,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldirams Bhujia Plain,581.3,13.4,39.9,4.1,0,0,40.9,13.5,0.1,922.2,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldiram’s Chatpata Dal ,465.84,19.7,54.8,2.4,0,0,18.7,4.3,0,575.8,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldiram's Long Sev,612.1,12.9,36.4,2.6,0,0,46.1,15.7,0.1,765.6,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldirams Gathia,619,13.2,32.2,3.1,0,4,48,21.6,0.1,469.7,0,0.1,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldiram's Nagpur Mini Samosa,504,7.13,50.36,4.83,0,0.63,30.5,12.73,0,638,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldirams Nagpur Whole Salted Peanuts,591.82,25.6,25.31,0,0,3.06,44.26,19,0,0,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldiram's Nagpur Whole Tasty Nuts,624.52,21.24,23.34,0,0,0,49.53,8.39,0,493,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldiram's Chana Jor Garam ,488.52,16.6,53,3.9,0,0,23.4,6,0,435.1,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldiram's Panchrattan,548,12,44,2.5,0,0,36,8,0.1,0,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldiram's Delhi Nimbu Masala,544.26,9.8,51.7,2.7,0,0,33.2,10,0,1000,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldiram's Snack – Mathri,567.45,4,57,1,0,0,36,20,0,1214,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldiram's Nagpur Punjabi Tadka,579.58,7.16,42.43,0.23,0,0,42.31,18.62,0,610,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Haldiram's Nagpur Mini Bhakarwadi,539,7.77,49.89,4.82,0,3.1,34.22,11.22,0,434,0,0,,,https://www.haldirams.com/?gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gUWgPeokt-NBOD2m3AsizSc3Qy7HABmzx-f3WhoxfsoX_n4b_f16_0aAotuEALw_wcB
Bisk Farm Marie Biscuit,413.17,7.4,67.25,18.73,0,0,13.01,6.2,0,0,0,0,,,https://www.biskfarm.com/
Bisk Farm Biscuit – Googly,495.78,7.44,68.53,19.03,0,0,22.76,11.79,0,0,1.7,0,,,https://www.biskfarm.com/
Bisk Farm Biscuit - Cheese Cream,505.16,21.55,53.57,7.5,0,0,22.63,13.7,0,0,1.69,26.49,,,https://www.biskfarm.com/
Bisk Farm Coco Malai Biscuit,469.48,8.23,69.84,24.18,0,0,20.03,11.42,0,0,0,0,,,https://www.biskfarm.com/
Amul Dark Chocolate Bar Fruit N Nut,556,7.1,55,0,37,0,34.2,17.5,0,0,0,0,,,https://shop.amul.com/en/product
Fresh Produce Amul Single Origin Milk Chocolate,568,9.5,49.7,0,33.8,0,36.9,22.2,0,0,0,0,,,https://shop.amul.com/en/product
Amul India Twilight Tryst Dark Chocolate,560,7.7,55.4,0,43,0,34.2,20.7,0,0,0,0,,,https://shop.amul.com/en/product
Amul Tropical Orange Chocolate,554,14.2,43,0,10,0,36.1,21.5,0,0,0,0,,,https://shop.amul.com/en/product
Amul Fruit N Nut Chocolate I Love You,556,7.1,55,0,37,0,34.2,17.5,0,0,0,0,,,https://shop.amul.com/en/product
AMUL ALMONDO Chocolate,583,12.6,41.4,0,30.9,0,40.8,11.2,0,0,0,0,,,https://shop.amul.com/en/product
Amul Smooth & Creamy Milk Chocolate,550,9.2,55,0,40,0,32.6,19.8,0,0,0,0,,,https://shop.amul.com/en/product
Amul Belgian Milk Chocolate,554,14.2,43,0,10,0,36.1,21.5,0,0,0,0,,,https://shop.amul.com/en/product
